1066,0.00419701
1088,0.02776046
1099,0.00971133
1211,0.00691869
1288,0.03430911
1336,0.01080699
1339,0.00958294
1359,0.00705895
1398,0.10039146
168,0.006745
1800,0.01470234
1898,0.00497244
1988,0.02265407
2202,0.00809661
2238,0.00556149
2318,0.0572721
2328,0.01851493
2333,0.01621663
2338,0.00565348
2601,0.03113453
2628,0.08064454
2883,0.0086764
3323,0.00772654
3328,0.02255485
358,0.00623949
386,0.05675383
390,0.00907618
3968,0.03179706
3988,0.09960064
489,0.01060204
6030,0.00979682
6837,0.00933274
728,0.02242386
753,0.00458191
857,0.06458095
902,0.01316068
914,0.01276514
916,0.00863401
939,0.10067148
998,0.0181203
