Symbol,FromDate,TradingHours
CMA,1900-01-01,000000,040000,213000,235959,040000
CMB,1900-01-01,000000,040000,213000,235959,040000
CMCSA,1900-01-01,000000,040000,213000,235959,040000
CME,1900-01-01,000000,040000,213000,235959,040000
CMG,1900-01-01,000000,040000,213000,235959,040000
CMI,1900-01-01,000000,040000,213000,235959,040000
CMS,1900-01-01,000000,040000,213000,235959,040000
CNC,1900-01-01,000000,040000,213000,235959,040000
CNP,1900-01-01,000000,040000,213000,235959,040000
CNQ,1900-01-01,000000,040000,213000,235959,040000
COF,1900-01-01,000000,040000,213000,235959,040000
COG,1900-01-01,000000,040000,213000,235959,040000
COH,1900-01-01,000000,040000,213000,235959,040000
COL,1900-01-01,000000,040000,213000,235959,040000
COP,1900-01-01,000000,040000,213000,235959,040000
COST,1900-01-01,000000,040000,213000,235959,040000
CPB,1900-01-01,000000,040000,213000,235959,040000
CPGX,1900-01-01,000000,040000,213000,235959,040000
CRM,1900-01-01,000000,040000,213000,235959,040000
CSCO,1900-01-01,000000,040000,213000,235959,040000
CSRA,1900-01-01,000000,040000,213000,235959,040000
CSX,1900-01-01,000000,040000,213000,235959,040000
CTAS,1900-01-01,000000,040000,213000,235959,040000
CTL,1900-01-01,000000,040000,213000,235959,040000
CTSH,1900-01-01,000000,040000,213000,235959,040000
CTXS,1900-01-01,000000,040000,213000,235959,040000
CVC,1900-01-01,000000,040000,213000,235959,040000
CVS,1900-01-01,000000,040000,213000,235959,040000
CVX,1900-01-01,000000,040000,213000,235959,040000
CWB,1900-01-01,000000,040000,213000,235959,040000
CXO,1900-01-01,000000,040000,213000,235959,040000
D,1900-01-01,000000,040000,213000,235959,040000
DAL,1900-01-01,000000,040000,213000,235959,040000
DBA,1900-01-01,000000,040000,213000,235959,040000
DBB,1900-01-01,000000,040000,213000,235959,040000
DBC,1900-01-01,000000,040000,213000,235959,040000
DBEF,1900-01-01,000000,040000,213000,235959,040000
DBEU,1900-01-01,000000,040000,213000,235959,040000
DD,1900-01-01,000000,040000,213000,235959,040000
DE,1900-01-01,000000,040000,213000,235959,040000
DFS,1900-01-01,000000,040000,213000,235959,040000
DG,1900-01-01,000000,040000,213000,235959,040000
DGX,1900-01-01,000000,040000,213000,235959,040000
DHI,1900-01-01,000000,040000,213000,235959,040000
DHR,1900-01-01,000000,040000,213000,235959,040000
DIA,1900-01-01,000000,040000,213000,235959,040000
DIS,1900-01-01,000000,040000,213000,235959,040000
DISCA,1900-01-01,000000,040000,213000,235959,040000
DISCK,1900-01-01,000000,040000,213000,235959,040000
DLPH,1900-01-01,000000,040000,213000,235959,040000
DLTR,1900-01-01,000000,040000,213000,235959,040000
DNB,1900-01-01,000000,040000,213000,235959,040000
DO,1900-01-01,000000,040000,213000,235959,040000
DOV,1900-01-01,000000,040000,213000,235959,040000
DOW,1900-01-01,000000,040000,213000,235959,040000
DPS,1900-01-01,000000,040000,213000,235959,040000
DRI,1900-01-01,000000,040000,213000,235959,040000
DTE,1900-01-01,000000,040000,213000,235959,040000
DUK,1900-01-01,000000,040000,213000,235959,040000
DVA,1900-01-01,000000,040000,213000,235959,040000
DVN,1900-01-01,000000,040000,213000,235959,040000
DVY,1900-01-01,000000,040000,213000,235959,040000
DXGE,1900-01-01,000000,040000,213000,235959,040000
DXJ,1900-01-01,000000,040000,213000,235959,040000
EA,1900-01-01,000000,040000,213000,235959,040000
EBAY,1900-01-01,000000,040000,213000,235959,040000
ECL,1900-01-01,000000,040000,213000,235959,040000
ED,1900-01-01,000000,040000,213000,235959,040000
EEM,1900-01-01,000000,040000,213000,235959,040000
EFA,1900-01-01,000000,040000,213000,235959,040000
EFX,1900-01-01,000000,040000,213000,235959,040000
EIX,1900-01-01,000000,040000,213000,235959,040000
EL,1900-01-01,000000,040000,213000,235959,040000
EMB,1900-01-01,000000,040000,213000,235959,040000
EMC,1900-01-01,000000,040000,213000,235959,040000
EMN,1900-01-01,000000,040000,213000,235959,040000
EMR,1900-01-01,000000,040000,213000,235959,040000
ENDP,1900-01-01,000000,040000,213000,235959,040000
EOG,1900-01-01,000000,040000,213000,235959,040000
EPI,1900-01-01,000000,040000,213000,235959,040000
EQIX,1900-01-01,000000,040000,213000,235959,040000
EQR,1900-01-01,000000,040000,213000,235959,040000
EQT,1900-01-01,000000,040000,213000,235959,040000
ES,1900-01-01,000000,040000,213000,235959,040000
ESRX,1900-01-01,000000,040000,213000,235959,040000
ESS,1900-01-01,000000,040000,213000,235959,040000
ETFC,1900-01-01,000000,040000,213000,235959,040000
ETN,1900-01-01,000000,040000,213000,235959,040000
ETR,1900-01-01,000000,040000,213000,235959,040000
EW,1900-01-01,000000,040000,213000,235959,040000
EWA,1900-01-01,000000,040000,213000,235959,040000
EWC,1900-01-01,000000,040000,213000,235959,040000
EWG,1900-01-01,000000,040000,213000,235959,040000
EWH,1900-01-01,000000,040000,213000,235959,040000
EWI,1900-01-01,000000,040000,213000,235959,040000
EWJ,1900-01-01,000000,040000,213000,235959,040000
EWL,1900-01-01,000000,040000,213000,235959,040000
EWP,1900-01-01,000000,040000,213000,235959,040000
EWQ,1900-01-01,000000,040000,213000,235959,040000
EWS,1900-01-01,000000,040000,213000,235959,040000
EWT,1900-01-01,000000,040000,213000,235959,040000
EWU,1900-01-01,000000,040000,213000,235959,040000
EWW,1900-01-01,000000,040000,213000,235959,040000
EWY,1900-01-01,000000,040000,213000,235959,040000
EWZ,1900-01-01,000000,040000,213000,235959,040000
EXC,1900-01-01,000000,040000,213000,235959,040000
EXPD,1900-01-01,000000,040000,213000,235959,040000
EXPE,1900-01-01,000000,040000,213000,235959,040000
EXR,1900-01-01,000000,040000,213000,235959,040000
EZU,1900-01-01,000000,040000,213000,235959,040000
F,1900-01-01,000000,040000,213000,235959,040000
FAST,1900-01-01,000000,040000,213000,235959,040000
FB,1900-01-01,000000,040000,213000,235959,040000
FBT,1900-01-01,000000,040000,213000,235959,040000
FCX,1900-01-01,000000,040000,213000,235959,040000
FDN,1900-01-01,000000,040000,213000,235959,040000
FDX,1900-01-01,000000,040000,213000,235959,040000
FE,1900-01-01,000000,040000,213000,235959,040000
FEZ,1900-01-01,000000,040000,213000,235959,040000
FFIV,1900-01-01,000000,040000,213000,235959,040000
FIS,1900-01-01,000000,040000,213000,235959,040000
FISV,1900-01-01,000000,040000,213000,235959,040000
FITB,1900-01-01,000000,040000,213000,235959,040000
FL,1900-01-01,000000,040000,213000,235959,040000
FLIR,1900-01-01,000000,040000,213000,235959,040000
FLR,1900-01-01,000000,040000,213000,235959,040000
FLS,1900-01-01,000000,040000,213000,235959,040000
FMC,1900-01-01,000000,040000,213000,235959,040000
FOX,1900-01-01,000000,040000,213000,235959,040000
FOXA,1900-01-01,000000,040000,213000,235959,040000
FRT,1900-01-01,000000,040000,213000,235959,040000
FSLR,1900-01-01,000000,040000,213000,235959,040000
FTI,1900-01-01,000000,040000,213000,235959,040000
FTR,1900-01-01,000000,040000,213000,235959,040000
FXA,1900-01-01,000000,040000,213000,235959,040000
FXB,1900-01-01,000000,040000,213000,235959,040000
FXC,1900-01-01,000000,040000,213000,235959,040000
FXE,1900-01-01,000000,040000,213000,235959,040000
FXF,1900-01-01,000000,040000,213000,235959,040000
FXI,1900-01-01,000000,040000,213000,235959,040000
FXY,1900-01-01,000000,040000,213000,235959,040000
GAS,1900-01-01,000000,040000,213000,235959,040000
GD,1900-01-01,000000,040000,213000,235959,040000
GDX,1900-01-01,000000,040000,213000,235959,040000
GDXJ,1900-01-01,000000,040000,213000,235959,040000
GE,1900-01-01,000000,040000,213000,235959,040000
GGP,1900-01-01,000000,040000,213000,235959,040000
GILD,1900-01-01,000000,040000,213000,235959,040000
GIS,1900-01-01,000000,040000,213000,235959,040000
GLD,1900-01-01,000000,040000,213000,235959,040000
GLDX,1900-01-01,000000,040000,213000,235959,040000
GLW,1900-01-01,000000,040000,213000,235959,040000
GM,1900-01-01,000000,040000,213000,235959,040000
GMCR,1900-01-01,000000,040000,213000,235959,040000
GME,1900-01-01,000000,040000,213000,235959,040000
GOOG,1900-01-01,000000,040000,213000,235959,040000
GOOGL,1900-01-01,000000,040000,213000,235959,040000
GPC,1900-01-01,000000,040000,213000,235959,040000
GPS,1900-01-01,000000,040000,213000,235959,040000
GRMN,1900-01-01,000000,040000,213000,235959,040000
GS,1900-01-01,000000,040000,213000,235959,040000
GT,1900-01-01,000000,040000,213000,235959,040000
GWW,1900-01-01,000000,040000,213000,235959,040000
HAL,1900-01-01,000000,040000,213000,235959,040000
HAR,1900-01-01,000000,040000,213000,235959,040000
HAS,1900-01-01,000000,040000,213000,235959,040000
HBAN,1900-01-01,000000,040000,213000,235959,040000
HBI,1900-01-01,000000,040000,213000,235959,040000
HCA,1900-01-01,000000,040000,213000,235959,040000
HCN,1900-01-01,000000,040000,213000,235959,040000
HCP,1900-01-01,000000,040000,213000,235959,040000
HD,1900-01-01,000000,040000,213000,235959,040000
HEDJ,1900-01-01,000000,040000,213000,235959,040000
HES,1900-01-01,000000,040000,213000,235959,040000
HEWJ,1900-01-01,000000,040000,213000,235959,040000
HIG,1900-01-01,000000,040000,213000,235959,040000
HOG,1900-01-01,000000,040000,213000,235959,040000
HOLX,1900-01-01,000000,040000,213000,235959,040000
HON,1900-01-01,000000,040000,213000,235959,040000
HOT,1900-01-01,000000,040000,213000,235959,040000
HP,1900-01-01,000000,040000,213000,235959,040000
HPE,1900-01-01,000000,040000,213000,235959,040000
HPQ,1900-01-01,000000,040000,213000,235959,040000
HRB,1900-01-01,000000,040000,213000,235959,040000
HRL,1900-01-01,000000,040000,213000,235959,040000
HRS,1900-01-01,000000,040000,213000,235959,040000
HSIC,1900-01-01,000000,040000,213000,235959,040000
HST,1900-01-01,000000,040000,213000,235959,040000
HSY,1900-01-01,000000,040000,213000,235959,040000
HUM,1900-01-01,000000,040000,213000,235959,040000
HYG,1900-01-01,000000,040000,213000,235959,040000
IAU,1900-01-01,000000,040000,213000,235959,040000
IBB,1900-01-01,000000,040000,213000,235959,040000
IBM,1900-01-01,000000,040000,213000,235959,040000
ICE,1900-01-01,000000,040000,213000,235959,040000
IEMG,1900-01-01,000000,040000,213000,235959,040000
IFF,1900-01-01,000000,040000,213000,235959,040000
IHE,1900-01-01,000000,040000,213000,235959,040000
IJR,1900-01-01,000000,040000,213000,235959,040000
ILMN,1900-01-01,000000,040000,213000,235959,040000
INDA,1900-01-01,000000,040000,213000,235959,040000
INTC,1900-01-01,000000,040000,213000,235959,040000
INTU,1900-01-01,000000,040000,213000,235959,040000
IP,1900-01-01,000000,040000,213000,235959,040000
IPG,1900-01-01,000000,040000,213000,235959,040000
IR,1900-01-01,000000,040000,213000,235959,040000
IRM,1900-01-01,000000,040000,213000,235959,040000
ISRG,1900-01-01,000000,040000,213000,235959,040000
ITA,1900-01-01,000000,040000,213000,235959,040000
ITB,1900-01-01,000000,040000,213000,235959,040000
ITW,1900-01-01,000000,040000,213000,235959,040000
SDS,1900-01-01,000000,040000,213000,235959,040000
SQQQ,1900-01-01,000000,040000,213000,235959,040000
EZA,1900-01-01,000000,040000,213000,235959,040000
IVV,1900-01-01,000000,040000,213000,235959,040000
IVZ,1900-01-01,000000,040000,213000,235959,040000
IWM,1900-01-01,000000,040000,213000,235959,040000
IWV,1900-01-01,000000,040000,213000,235959,040000
IYC,1900-01-01,000000,040000,213000,235959,040000
IYF,1900-01-01,000000,040000,213000,235959,040000
IYH,1900-01-01,000000,040000,213000,235959,040000
IYJ,1900-01-01,000000,040000,213000,235959,040000
IYK,1900-01-01,000000,040000,213000,235959,040000
IYM,1900-01-01,000000,040000,213000,235959,040000
IYR,1900-01-01,000000,040000,213000,235959,040000
IYT,1900-01-01,000000,040000,213000,235959,040000
JBHT,1900-01-01,000000,040000,213000,235959,040000
JCI,1900-01-01,000000,040000,213000,235959,040000
